cnumber,ibu,abv,style,bcity
1,0.00,0.41,0.10891,0.19382
1,0.00,0.38,0.10891,0.19382
1,0.14,0.41,0.56246,0.19382
1,0.22,0.39,0.49598,0.19382
1,0.14,0.41,0.56246,0.19382
1,0.22,0.39,0.49598,0.19382
1,0.14,0.41,0.56246,0.19382
1,0.00,0.38,0.10891,0.19382
1,0.14,0.41,0.56246,0.19382
1,0.05,0.27,0.41332,0.45857
1,0.00,0.48,0.44583,0.45857
1,0.00,0.39,0.43721,0.45857
1,0.00,0.70,0.45666,0.45857
1,0.00,0.70,0.45666,0.45857
1,0.00,0.39,0.43721,0.45857
1,0.00,0.48,0.44583,0.45857
1,0.00,0.42,0.59469,0.06524
1,0.00,0.36,0.55751,0.06524
1,0.00,0.48,0.14557,0.06075
1,0.00,0.43,0.03435,0.06075
1,0.00,0.35,0.60787,0.06075
1,0.19,0.38,0.34718,0.41803
1,0.28,0.47,0.14150,0.41803
1,0.19,0.47,0.21017,0.41803
1,0.00,0.49,0.44583,0.43736
1,0.00,0.35,0.10891,0.34808
1,0.00,0.34,0.44583,0.40830
1,0.00,0.31,0.07331,0.40830
1,0.18,0.42,0.56246,0.05912
1,0.20,0.45,0.14557,0.05912
1,0.27,0.42,0.21017,0.23631
1,0.14,0.74,0.02077,0.00868
1,0.22,0.47,0.21484,0.00868
1,0.19,0.45,0.14557,0.00868
1,0.00,0.47,0.49598,0.28116
1,0.00,0.53,0.14557,0.28116
1,0.00,0.43,0.21017,0.28116
1,0.15,0.36,0.14150,0.28116
1,0.00,0.35,0.10891,0.28116
1,0.00,0.59,0.44583,0.28116
1,0.00,0.38,0.10891,0.28116
1,0.00,0.41,0.49598,0.00000
1,0.00,0.43,0.31309,0.00000
1,0.00,0.52,0.49598,0.00000
1,0.00,0.33,0.02292,0.00000
1,0.00,0.32,0.47746,0.00000
1,0.26,0.38,0.44583,0.12499
1,0.00,0.00,0.50002,0.12499
1,0.00,0.00,0.50002,0.12499
1,0.00,0.00,0.44583,0.12499
1,0.00,0.39,0.59469,0.12499
1,0.00,0.00,0.44583,0.12499
1,0.26,0.41,0.07331,0.12499
1,0.00,0.66,0.44583,0.12499
1,0.00,0.66,0.44583,0.12499
1,0.00,0.70,0.51971,0.12499
1,0.00,0.62,0.25581,0.12499
1,0.00,0.62,0.46637,0.12499
1,0.26,0.41,0.07331,0.12499
1,0.26,0.62,0.02077,0.12499
1,0.26,0.62,0.02077,0.13826
1,0.26,0.62,0.02077,0.13826
1,0.26,0.62,0.02077,0.13826
1,0.26,0.62,0.02077,0.01802
1,0.33,0.43,0.05216,0.28460
1,0.00,0.38,0.44583,0.35990
1,0.17,0.41,0.03435,0.19382
1,0.17,0.35,0.27293,0.19382
1,0.18,0.39,0.21017,0.19382
1,0.00,0.33,0.10891,0.02945
1,0.00,0.35,0.60787,0.02945
1,0.26,0.39,0.44583,0.06062
1,0.09,0.32,0.49598,0.40522
1,0.15,0.54,0.11182,0.40522
1,0.00,0.57,0.56246,0.25754
1,0.00,0.39,0.34718,0.36746
1,0.15,0.47,0.15667,0.46178
1,0.18,0.47,0.16544,0.46178
1,0.19,0.43,0.21017,0.46178
1,0.00,0.39,0.43721,0.45010
1,0.04,0.34,0.06278,0.39367
1,0.00,0.38,0.07331,0.45115
1,0.00,0.43,0.52088,0.28213
1,0.00,0.50,0.14557,0.18070
1,0.00,0.50,0.14557,0.18070
1,0.00,0.00,0.21017,0.18070
1,0.00,0.48,0.56246,0.18070
1,0.31,0.45,0.56246,0.20565
1,0.26,0.45,0.21017,0.20565
1,0.16,0.41,0.34410,0.20565
1,0.00,0.39,0.55751,0.23421
1,0.00,0.39,0.56246,0.23421
1,0.00,0.35,0.31309,0.32885
1,0.00,0.62,0.14557,0.37117
1,0.12,0.39,0.55751,0.06167
1,0.17,0.38,0.27293,0.06167
1,0.15,0.54,0.21017,0.05247
1,0.19,0.74,0.52939,0.05247
1,0.00,0.43,0.34410,0.05247
1,0.00,0.47,0.10891,0.05247
1,0.15,0.43,0.56246,0.05247
1,0.15,0.54,0.21017,0.05247
1,0.15,0.39,0.16544,0.05247
1,0.15,0.43,0.56246,0.05247
1,0.15,0.45,0.21484,0.00775
1,0.22,0.43,0.21484,0.21522
1,0.00,0.35,0.03435,0.21522
1,0.00,0.00,0.34410,0.21522
1,0.00,0.62,0.46564,0.21522
1,0.00,0.43,0.60787,0.21522
1,0.00,0.52,0.44583,0.21522
1,0.00,0.51,0.52088,0.28929
1,0.00,0.51,0.52088,0.28929
1,0.00,0.51,0.52088,0.28929
1,0.00,0.51,0.52088,0.28929
1,0.00,0.51,0.52088,0.28929
1,0.29,0.60,0.39309,0.08922
1,0.15,0.41,0.59469,0.08922
1,0.29,0.60,0.56246,0.08922
1,0.00,0.41,0.60787,0.19679
1,0.00,0.47,0.42990,0.19679
1,0.19,0.38,0.10891,0.19679
1,0.21,0.39,0.07331,0.19679
1,0.00,0.54,0.52088,0.39545
1,0.00,0.47,0.56246,0.20337
1,0.00,0.53,0.44583,0.20337
1,0.12,0.33,0.06278,0.20046
1,0.00,0.62,0.45666,0.20046
1,0.06,0.25,0.16544,0.20046
1,0.25,0.41,0.17396,0.20046
1,0.09,0.41,0.10891,0.20046
1,0.26,0.38,0.21484,0.20046
1,0.35,0.47,0.14150,0.20046
1,0.25,0.41,0.17396,0.20046
1,0.00,0.35,0.44583,0.01045
1,0.00,0.58,0.52687,0.01045
1,0.12,0.45,0.14557,0.01045
1,0.00,0.45,0.14557,0.01045
1,0.00,0.62,0.10700,0.01045
1,0.00,0.00,0.14557,0.01045
1,0.14,0.33,0.49598,0.01045
1,0.24,0.48,0.21484,0.35836
1,0.00,0.27,0.47746,0.38295
1,0.24,0.38,0.07331,0.01472
1,0.29,0.45,0.28994,0.33011
1,0.00,0.43,0.21484,0.39604
1,0.17,0.54,0.12336,0.39604
1,0.00,0.43,0.21484,0.39604
1,0.17,0.54,0.12336,0.39604
1,0.26,0.37,0.44583,0.36746
1,0.09,0.38,0.34410,0.24142
1,0.13,0.38,0.27293,0.01045
1,0.19,0.45,0.31309,0.01045
1,0.07,0.37,0.22714,0.02198
1,0.07,0.37,0.22714,0.02198
1,0.07,0.37,0.22714,0.02198
1,0.07,0.37,0.22714,0.02198
1,0.07,0.37,0.22714,0.02198
1,0.07,0.37,0.22714,0.02198
1,0.00,0.48,0.52939,0.02198
1,0.12,0.45,0.34410,0.02198
1,0.06,0.41,0.10891,0.02198
1,0.06,0.39,0.10891,0.02198
1,0.06,0.39,0.10891,0.02198
1,0.10,0.38,0.27293,0.02198
1,0.12,0.45,0.34410,0.02198
1,0.06,0.39,0.10891,0.02198
1,0.11,0.37,0.31309,0.02198
1,0.07,0.37,0.22714,0.02198
1,0.00,0.35,0.21484,0.03523
1,0.19,0.40,0.27293,0.04957
1,0.22,0.39,0.34718,0.04957
1,0.00,0.39,0.22714,0.02255
1,0.06,0.32,0.22714,0.02255
1,0.06,0.32,0.31309,0.02255
1,0.10,0.25,0.47746,0.02255
1,0.00,0.35,0.31309,0.30676
1,0.00,0.55,0.44583,0.30676
1,0.37,0.57,0.44583,0.04214
1,0.08,0.39,0.55751,0.04214
1,0.28,0.39,0.28994,0.04214
1,0.14,0.46,0.17396,0.04214
1,0.00,0.39,0.21484,0.06167
1,0.32,0.39,0.44583,0.06167
1,0.32,0.39,0.44583,0.06167
1,0.25,0.66,0.29501,0.26564
1,0.15,0.38,0.21484,0.26564
1,0.26,0.48,0.21017,0.26564
1,0.15,0.44,0.21484,0.26564
1,0.15,0.39,0.28994,0.26564
1,0.15,0.39,0.34718,0.26564
1,0.15,0.39,0.10891,0.26564
1,0.00,0.66,0.29501,0.26564
1,0.15,0.39,0.10891,0.26564
1,0.15,0.39,0.34718,0.26564
1,0.17,0.62,0.11182,0.44227
1,0.00,0.50,0.44583,0.29368
1,0.00,0.31,0.16544,0.21732
1,0.26,0.43,0.21484,0.13508
1,0.09,0.44,0.39015,0.13508
1,0.00,0.75,0.46637,0.22563
1,0.00,0.62,0.59215,0.22563
1,0.00,0.55,0.44583,0.22563
1,0.15,0.36,0.56246,0.12772
1,0.12,0.38,0.59469,0.12772
1,0.12,0.46,0.10891,0.12772
1,0.00,0.39,0.45666,0.03523
1,0.00,0.57,0.45666,0.03523
1,0.00,0.55,0.11182,0.03523
1,0.00,0.43,0.27293,0.47828
1,0.00,0.39,0.44583,0.47828
1,0.33,0.36,0.44583,0.03969
1,0.00,0.35,0.43721,0.24683
1,0.14,0.38,0.10891,0.13652
1,0.00,0.32,0.17396,0.13652
1,0.29,0.48,0.21017,0.36372
1,0.47,0.43,0.10891,0.05352
1,0.23,0.43,0.28994,0.05352
1,0.15,0.45,0.21017,0.17398
1,0.09,0.41,0.16544,0.17398
1,0.27,0.45,0.44583,0.17398
1,0.17,0.40,0.03435,0.17398
1,0.37,0.41,0.21017,0.17398
1,0.26,0.35,0.07331,0.17398
1,0.19,0.42,0.31309,0.47939
1,0.14,0.40,0.22714,0.47939
1,0.30,0.32,0.44583,0.28929
1,0.20,0.41,0.56246,0.28929
1,0.00,0.38,0.07331,0.28929
1,0.20,0.41,0.56246,0.28929
1,0.00,0.36,0.10891,0.28929
1,0.17,0.60,0.34410,0.44711
1,0.00,0.35,0.12336,0.44711
1,0.00,0.51,0.44583,0.44711
1,0.00,0.35,0.27241,0.29612
1,0.00,0.47,0.05216,0.55367
1,0.08,0.33,0.06278,0.03523
1,0.00,0.47,0.34732,0.03523
1,0.18,0.53,0.64934,0.00775
1,0.00,0.47,0.21484,0.00775
1,0.24,0.51,0.05216,0.00775
1,0.22,0.59,0.64934,0.00775
1,0.00,0.64,0.52939,0.00775
1,0.00,0.60,0.14150,0.00775
1,0.22,0.59,0.45666,0.00775
1,0.00,0.54,0.10700,0.00775
1,0.00,0.52,0.59469,0.00775
1,0.00,0.56,0.44583,0.00775
1,0.00,0.41,0.14557,0.33057
1,0.19,0.72,0.29501,0.12547
1,0.17,0.62,0.55751,0.12547
1,0.19,0.72,0.25581,0.12547
1,0.04,0.31,0.06278,0.22806
1,0.12,0.39,0.55751,0.22806
1,0.00,0.35,0.14150,0.36089
1,0.10,0.33,0.55751,0.36089
1,0.17,0.47,0.28994,0.36089
1,0.00,0.35,0.14150,0.36089
1,0.00,0.42,0.07392,0.28425
1,0.00,0.59,0.18808,0.28425
1,0.00,0.39,0.27241,0.28425
1,0.23,0.62,0.21017,0.04482
1,0.00,0.39,0.52088,0.28460
1,0.19,0.35,0.27293,0.28213
1,0.22,0.60,0.46637,0.28213
1,0.00,0.33,0.15667,0.23421
1,0.00,0.64,0.39309,0.23421
1,0.00,0.43,0.14150,0.23421
1,0.00,0.59,0.14557,0.23421
1,0.00,0.41,0.56246,0.23421
1,0.00,0.43,0.44110,0.23421
1,0.00,0.41,0.56246,0.23421
3,0.00,0.52,0.92735,0.41524
3,0.00,0.35,0.92735,0.41524
3,0.00,0.43,0.92735,0.41524
3,0.00,0.66,0.75229,0.41524
3,0.44,0.48,0.92735,0.41524
3,0.00,0.64,1.00000,0.36746
3,0.31,0.34,0.92735,0.36746
3,0.38,0.66,0.77375,0.36746
3,0.31,0.34,0.92735,0.36746
3,0.47,0.53,0.91996,0.36746
3,0.14,0.35,0.70848,0.60664
3,0.00,0.43,0.87150,0.60664
3,0.00,0.43,0.91996,0.60664
3,0.37,0.70,0.77375,0.08922
3,0.15,0.39,0.87150,0.32437
3,0.31,0.33,0.92735,0.32437
3,0.19,0.39,0.60787,0.32437
3,0.00,0.51,0.64934,0.32437
3,0.15,0.39,0.59469,0.32437
3,0.26,0.39,0.92735,0.62037
