cnumber,ibu,abv,style,bcity
Шум,0.00,0.52,0.86517,0.12280
Шум,0.00,0.32,0.39015,0.12280
Шум,0.00,0.64,0.25581,0.12280
Шум,0.00,0.00,0.51971,0.12280
Шум,0.00,0.00,0.45666,0.12280
Шум,0.00,0.48,0.55751,0.12280
Шум,0.00,0.49,0.28994,0.12280
Шум,0.00,0.44,0.21017,0.12280
Шум,0.00,0.77,0.80245,0.12280
Шум,0.00,0.40,0.10663,0.12280
Шум,0.00,0.48,0.75229,0.12280
Шум,0.00,0.41,0.75229,0.12280
Шум,0.00,0.49,0.86517,0.12280
Шум,0.00,0.55,0.16544,0.12280
Шум,0.00,0.39,0.45666,0.12280
Шум,0.00,0.47,0.12336,0.12280
Шум,0.00,0.35,0.55751,0.12280
Шум,0.00,0.73,0.75229,0.12280
Шум,0.00,0.57,0.64934,0.12280
Шум,0.00,0.44,0.16544,0.12280
Шум,0.00,0.73,0.46637,0.12280
Шум,0.00,0.70,0.21484,0.12280
Шум,0.00,0.64,0.29501,0.12280
Шум,0.00,0.77,0.51971,0.12280
Шум,0.00,0.47,0.56246,0.12280
Шум,0.00,0.77,0.80245,0.12280
Шум,0.00,0.74,0.59215,0.12280
Шум,0.00,0.72,0.64934,0.12280
Шум,0.00,0.77,0.46564,0.12280
Шум,0.00,0.48,0.56246,0.12280
Шум,0.00,0.70,0.21484,0.12280
Шум,0.00,0.72,0.29501,0.12280
Шум,0.00,0.76,0.75229,0.12280
Шум,0.00,0.66,0.40722,0.12280
Шум,0.00,0.43,0.21484,0.12280
Шум,0.00,0.47,0.45666,0.12280
Шум,0.00,0.51,0.75229,0.12280
Шум,0.00,0.00,0.92735,0.00398
Шум,0.00,0.00,0.10891,0.00398
Шум,0.00,0.48,0.56246,0.93026
Шум,0.12,0.39,0.56246,0.86851
Шум,0.13,0.41,0.92735,0.86851
Шум,0.00,0.38,0.17396,0.86851
Шум,0.47,0.48,0.44583,0.86851
Шум,0.35,0.53,0.99980,0.20046
Шум,0.00,0.35,0.54860,0.20046
Шум,0.35,0.53,0.99980,0.20046
Шум,0.00,0.35,0.54860,0.20046
Шум,0.00,0.41,0.31309,0.20046
Шум,0.00,0.41,0.31309,0.20046
Шум,0.00,0.62,0.75229,0.38515
Шум,0.00,0.00,0.42990,0.38515
Шум,0.62,0.57,0.91996,0.38515
Шум,0.00,0.77,0.44110,0.38515
Шум,0.31,0.48,0.56246,0.38515
Шум,0.26,0.45,0.86650,0.38515
Шум,0.29,0.41,0.44110,0.38515
Шум,0.00,0.41,0.27241,0.45010
Шум,0.00,0.35,0.92735,0.13826
Шум,0.29,0.47,0.70848,0.69710
Шум,0.15,0.47,0.55751,0.69710
Шум,0.86,0.70,0.46637,0.69710
Шум,0.00,0.51,0.87150,0.81410
Шум,0.00,0.53,0.91996,0.81410
Шум,0.00,0.61,0.16544,0.81410
Шум,0.29,0.43,0.92735,0.81410
Шум,0.83,0.77,0.46637,0.81410
Шум,0.00,0.47,0.17396,0.81410
Шум,0.00,0.51,0.10891,0.81410
Шум,0.12,0.53,0.10891,0.81410
Шум,0.63,0.56,0.44583,0.81410
Шум,0.00,0.53,0.44583,0.81410
Шум,0.29,0.43,0.92735,0.81410
Шум,0.11,0.39,0.49598,0.72720
Шум,0.27,0.44,0.92735,0.94138
Шум,0.00,0.53,0.44583,0.11811
Шум,0.00,0.38,0.34718,0.11811
Шум,0.00,0.34,0.92735,0.11811
Шум,0.00,0.73,0.59215,0.15902
Шум,0.00,0.48,0.87150,0.15902
Шум,0.00,0.47,0.92735,0.15902
Шум,0.00,0.38,0.27293,0.15902
Шум,0.00,0.60,0.44583,0.15902
Шум,0.00,0.76,0.46637,0.15902
Шум,0.00,0.41,0.21017,0.97654
Шум,0.19,0.41,0.70848,0.97654
Шум,0.26,0.49,0.56246,0.97654
Шум,0.73,0.53,0.44583,0.97654
Шум,0.26,0.49,0.56246,0.97654
Шум,0.19,0.41,0.70848,0.97654
Шум,0.73,0.53,0.44583,0.34364
Шум,0.00,0.47,0.21017,0.34364
Шум,0.12,0.30,0.22714,0.34364
Шум,0.18,0.42,0.56246,0.34364
Шум,0.68,0.48,0.44583,0.34364
Шум,0.68,0.48,0.44583,0.34364
Шум,0.18,0.42,0.56246,0.34364
Шум,0.68,0.48,0.44583,0.34364
Шум,0.00,0.39,0.43721,0.62985
Шум,0.00,0.51,0.44583,0.62985
Шум,0.00,0.00,0.70848,0.74719
Шум,0.00,0.00,0.28837,0.74719
Шум,0.32,0.77,0.14150,0.50260
Шум,0.94,0.70,0.46637,0.50260
Шум,0.47,0.43,0.44583,0.50260
Шум,0.26,0.42,0.60787,0.50260
Шум,0.22,0.43,0.56246,0.50260
Шум,0.26,0.43,0.56246,0.62147
Шум,0.08,0.38,0.70848,0.62147
Шум,0.58,0.51,0.91996,0.56729
Шум,0.21,0.41,0.95766,0.56729
Шум,0.14,0.36,0.27241,0.56729
Шум,0.40,0.44,0.44583,0.56729
Шум,0.14,0.36,0.27241,0.56729
Шум,0.51,0.48,0.44583,0.56729
Шум,0.00,0.33,0.10891,0.56729
Шум,0.00,0.00,0.49598,0.56729
Шум,0.00,0.31,0.70848,0.88119
Шум,0.00,0.39,0.70848,0.88119
Шум,0.00,0.27,0.70848,0.88119
Шум,0.17,0.46,0.52939,0.09981
Шум,0.00,0.45,0.99980,0.09981
Шум,0.00,0.40,0.27293,0.09981
Шум,0.73,0.77,0.91996,0.74643
Шум,0.07,0.30,0.41332,0.74643
Шум,0.58,0.61,0.46637,0.74643
Шум,0.26,0.33,0.44583,0.74643
Шум,0.00,0.54,0.52088,0.72720
Шум,0.00,0.54,0.52088,0.72720
Шум,0.00,0.44,0.17396,0.10545
Шум,0.00,0.41,0.44583,0.10545
Шум,0.00,0.37,0.55751,0.10545
Шум,0.00,0.55,0.52939,0.10545
Шум,0.00,0.37,0.55751,0.10545
Шум,0.00,0.41,0.44583,0.10545
Шум,0.00,0.44,0.17396,0.10545
Шум,0.12,0.38,0.55751,0.15969
Шум,0.12,0.61,0.02077,0.15969
Шум,0.00,0.42,0.21017,0.10545
Шум,0.65,0.66,0.46637,0.27581
Шум,0.00,0.00,0.50002,0.27581
Шум,0.26,0.40,0.82450,0.27581
Шум,0.27,0.40,0.92735,0.27581
Шум,0.14,0.39,0.17396,0.27581
Шум,0.00,0.39,0.70848,0.72272
Шум,0.00,0.39,0.56246,0.72272
Шум,0.29,0.39,0.34732,0.34364
Шум,0.18,0.35,0.31309,0.34364
Шум,0.29,0.39,0.34732,0.34364
Шум,0.31,0.41,0.92735,0.34364
Шум,0.12,0.40,0.86650,0.06863
Шум,0.72,0.74,0.46637,0.06863
Шум,0.56,0.59,0.91996,0.06863
Шум,0.00,0.55,0.86517,0.63367
Шум,0.33,0.47,0.14557,0.63367
Шум,0.17,0.39,0.27293,0.63367
Шум,0.47,0.55,0.44583,0.63367
Шум,0.00,0.35,0.27293,0.11450
Шум,0.06,0.51,0.16544,0.11450
Шум,0.22,0.43,0.92735,0.11450
Шум,0.00,0.35,0.59469,0.11450
Шум,0.50,0.62,0.39309,0.61829
Шум,0.29,0.43,0.34410,0.61829
Шум,0.42,0.45,0.44583,0.45907
Шум,0.08,0.45,0.16544,0.45907
Шум,0.00,0.41,0.34732,0.45907
Шум,0.91,0.70,0.46637,0.20565
Шум,0.22,0.38,0.43721,0.28929
Шум,0.00,0.39,0.52088,0.02198
Шум,0.00,0.39,0.52088,0.02198
Шум,0.19,0.43,0.18808,0.56595
Шум,0.47,0.48,0.44583,0.56595
Шум,0.47,0.64,0.91996,0.56595
Шум,0.00,0.43,0.87150,0.56595
Шум,0.00,0.43,0.34410,0.56595
Шум,0.00,0.47,0.21017,0.56595
Шум,0.00,0.35,0.44583,0.56595
Шум,0.00,0.49,0.92735,0.56595
Шум,0.00,0.43,0.92735,0.56595
Шум,0.00,0.41,0.10891,0.56595
Шум,0.51,0.59,0.44583,0.56595
Шум,0.51,0.59,0.44583,0.56595
Шум,0.47,0.62,0.21017,0.56595
Шум,0.19,0.43,0.59469,0.56595
Шум,0.19,0.43,0.87150,0.56595
Шум,0.00,0.39,0.27241,0.56595
Шум,0.55,0.56,0.56246,0.56595
Шум,0.51,0.59,0.44583,0.56595
Шум,0.14,0.39,0.55751,0.56595
Шум,0.00,0.38,0.47746,0.23128
Шум,0.00,0.47,0.14150,0.23128
Шум,0.00,0.35,0.55751,0.23128
Шум,0.00,0.48,0.27241,0.23128
Шум,0.00,0.30,0.47746,0.23128
Шум,0.00,0.44,0.81990,0.23128
Шум,0.44,0.52,0.44583,0.72503
Шум,0.55,0.47,0.91996,0.72720
Шум,0.10,0.34,0.10891,0.72720
Шум,0.40,0.48,0.87150,0.05023
Шум,0.09,0.36,0.27293,0.84692
Шум,0.55,0.51,0.44583,0.84692
Шум,0.18,0.41,0.56246,0.84692
Шум,0.18,0.41,0.56246,0.84692
Шум,0.00,0.45,0.16544,0.10690
Шум,0.55,0.53,0.44583,0.78146
Шум,0.17,0.38,0.60787,0.78146
Шум,0.16,0.44,0.70848,0.78146
Шум,0.00,0.39,0.43721,0.82444
Шум,0.00,0.45,0.28994,0.82444
Шум,0.00,0.48,0.74375,0.82444
Шум,0.00,0.30,0.49598,0.55393
Шум,0.00,0.39,0.27293,0.01449
Шум,0.00,0.38,0.70848,0.77882
Шум,0.22,0.59,0.28994,0.77882
Шум,0.52,0.60,0.91996,0.77882
Шум,0.34,0.47,0.92735,0.72272
Шум,0.19,0.59,0.25581,0.72272
Шум,0.00,0.46,0.14557,0.72272
Шум,0.12,0.41,0.55751,0.72272
Шум,0.00,0.47,0.92735,0.72272
Шум,0.19,0.41,0.56246,0.72272
Шум,0.00,0.35,0.41332,1.00000
Шум,0.19,0.38,0.70848,0.63317
Шум,0.00,0.43,0.21017,0.63317
Шум,0.00,0.51,0.56246,0.92650
Шум,0.00,0.52,0.86650,0.92650
Шум,0.00,0.43,0.87150,0.92650
Шум,0.00,0.35,0.70848,0.92650
Шум,0.00,0.43,0.17396,0.92650
Шум,0.00,0.54,0.21017,0.92650
